City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bonavista,48.6499,-53.1147,48.2,76,100,8.05,CA,1619133245
manuk mangkaw,4.8,119.85,80.82,77,21,2.86,PH,1619133246
baykit,61.67,96.37,25.83,90,100,4.74,RU,1619133246
ruidoso,33.3317,-105.673,64.4,13,1,26.46,US,1619133246
imbituba,-28.24,-48.6703,68.0,83,20,6.91,BR,1619133246
selenginsk,52.0064,106.8647,30.2,37,20,4.47,RU,1619133247
marsh harbour,26.5412,-77.0636,75.94,76,27,10.92,BS,1619133247
rawson,-43.3002,-65.1023,58.59,51,27,2.15,AR,1619133247
mount gambier,-37.8333,140.7667,51.8,93,90,5.75,AU,1619133247
sibolga,1.7427,98.7792,76.08,87,100,2.68,ID,1619133248
vostok,46.4856,135.8833,56.03,38,100,3.4,RU,1619133248
santa cruz de la palma,28.6835,-17.7642,66.2,72,0,4.61,ES,1619133248
linhares,-19.3911,-40.0722,71.76,87,38,3.94,BR,1619133248
bull savanna,17.8868,-77.5902,75.07,81,41,3.13,JM,1619133249
karakol,42.4907,78.3936,23.99,61,9,7.07,KG,1619133249
harnosand,62.6323,17.9379,35.01,69,64,12.66,SE,1619133249
rikitea,-23.1203,-134.9692,77.9,75,85,15.3,PF,1619133249
aswan,24.0934,32.907,85.44,17,41,10.92,EG,1619132702
touros,-5.1989,-35.4608,78.8,83,40,4.61,BR,1619133250
whyalla,-33.0333,137.5833,59.0,67,40,5.75,AU,1619133250
goderich,43.7501,-81.7165,39.2,45,48,3.44,CA,1619133250
seminole,28.7086,-81.2081,70.0,60,1,11.5,US,1619133250
whitianga,-36.8333,175.7,64.89,60,96,2.95,NZ,1619133251
hasaki,35.7333,140.8333,55.0,62,20,13.8,JP,1619133251
bjornevatn,69.6672,29.9847,33.8,80,90,8.05,NO,1619133251
nieuw amsterdam,5.8833,-55.0833,78.8,83,40,9.22,SR,1619133251
andrelandia,-21.7397,-44.3092,57.16,94,6,4.54,BR,1619133252
owando,-0.4819,15.8999,74.16,88,80,1.97,CG,1619133252
ponta do sol,32.6667,-17.1,64.99,90,86,4.0,PT,1619133252
belmonte,-15.8631,-38.8828,78.8,78,40,9.22,BR,1619133252
bumba,2.1833,22.4667,74.89,80,47,0.69,CD,1619133253
goba,7.0167,39.9833,50.4,88,100,4.97,ET,1619133253
hikari,33.955,131.95,68.0,45,75,9.22,JP,1619133253
antalaha,-14.9003,50.2788,73.62,90,91,7.49,MG,1619132672
souillac,-20.5167,57.5167,77.0,94,75,6.91,MU,1619132709
nenjiang,49.1833,125.2167,43.5,57,91,18.1,CN,1619133254
kuusamo,65.9667,29.1833,30.2,93,0,4.61,FI,1619133254
severo-kurilsk,50.6789,156.125,35.71,93,69,3.11,RU,1619133166
tura,25.5198,90.2201,69.48,66,46,1.92,IN,1619133254
tiarei,-17.5333,-149.3333,86.0,62,20,6.91,PF,1619133254
aiquile,-18.2041,-65.1807,57.63,81,56,2.01,BO,1619133255
chokurdakh,70.6333,147.9167,0.91,95,95,6.08,RU,1619133255
ghanzi,-21.5667,21.7833,62.04,33,97,5.44,BW,1619133255
sudzha,51.1976,35.2726,46.17,83,45,9.1,RU,1619133255
dryden,49.7833,-92.7503,62.6,20,1,16.11,CA,1619133096
kysyl-syr,63.8986,122.7617,27.77,95,100,10.42,RU,1619133256
upernavik,72.7868,-56.1549,22.14,88,100,6.53,GL,1619132492
caravelas,-17.7125,-39.2481,73.27,88,95,4.25,BR,1619133227
jijiga,9.35,42.8,62.08,85,87,5.19,ET,1619133242
aquiraz,-3.9014,-38.3911,81.0,83,20,5.75,BR,1619133286
labuhan,-6.8844,112.2051,75.02,81,38,5.88,ID,1619133286
inhambane,-23.865,35.3833,70.05,77,34,6.11,MZ,1619133286
general roca,-39.0333,-67.5833,60.8,77,0,2.3,AR,1619133287
zhangye,38.9342,100.4517,56.55,42,4,11.23,CN,1619133287
alofi,-19.0595,-169.9187,84.2,74,75,12.66,NU,1619133287
kaithal,29.8,76.3833,72.73,39,70,14.52,IN,1619133287
saldanha,-33.0117,17.9442,59.05,90,0,5.88,ZA,1619133288
zhigansk,66.7697,123.3711,21.2,93,100,12.48,RU,1619133288
aljezur,37.3191,-8.8033,58.42,78,100,4.09,PT,1619133288
ilulissat,69.2167,-51.1,24.8,74,100,4.41,GL,1619133288
fernie,49.5,-115.0687,37.4,55,100,9.22,CA,1619133289
sivaki,52.6333,126.75,32.5,34,93,15.84,RU,1619133289
zhuhai,22.2769,113.5678,79.0,83,0,3.44,CN,1619133289
cap-aux-meules,47.3821,-61.8597,39.2,70,82,17.27,CA,1619133289
iqaluit,63.7506,-68.5145,21.2,86,90,3.44,CA,1619132953
berlevag,70.8578,29.0864,33.98,70,100,10.76,NO,1619133290
butaritari,3.0707,172.7902,82.72,74,58,10.4,KI,1619133290
lavrentiya,65.5833,-171.0,33.8,71,92,1.92,RU,1619133235
chicama,-7.8447,-79.1469,66.2,82,40,11.5,PE,1619133290
chumikan,54.7183,135.315,33.08,97,100,7.18,RU,1619133291
duku,11.2361,4.9073,87.55,40,68,4.47,NG,1619133291
kamaishi,39.2667,141.8833,48.2,49,0,16.11,JP,1619133291
grand gaube,-20.0064,57.6608,75.99,87,100,3.0,MU,1619133292
la asuncion,11.0333,-63.8628,93.2,43,19,23.02,VE,1619133292
pueblo nuevo,23.3833,-105.3833,71.89,13,89,8.19,MX,1619133292
cidreira,-30.1811,-50.2056,69.85,72,1,16.51,BR,1619133293
weyburn,49.6668,-103.8511,50.0,40,63,29.93,CA,1619133293
victoria,22.2855,114.1577,77.0,84,0,4.68,HK,1619132582
archdale,35.9146,-79.972,55.99,27,77,10.71,US,1619133293
pachino,36.7186,15.0907,62.6,59,75,5.75,IT,1619133293
punta arenas,-53.15,-70.9167,46.4,93,75,4.61,CL,1619133250
karasjok,69.4719,25.5112,30.2,69,0,5.75,NO,1619133294
poplar bluff,36.757,-90.3929,55.99,33,1,8.05,US,1619133294
hamilton,39.1834,-84.5333,52.0,32,1,10.36,US,1619133255
oktyabrskoye,43.0645,44.7417,50.0,100,100,8.95,RU,1619133294
vardo,70.3705,31.1107,33.8,75,75,4.61,NO,1619132553
galveston,29.3669,-94.9669,70.0,73,90,16.11,US,1619133294
manoel urbano,-8.8389,-69.2597,77.23,85,54,1.36,BR,1619133295
murindo,6.9848,-76.7544,77.83,93,75,2.21,CO,1619133295
kabanjahe,3.1001,98.4908,62.65,92,100,1.99,ID,1619133295
sao joao da barra,-21.6403,-41.0511,71.82,74,1,16.26,BR,1619133295
santa isabel,-23.3156,-46.2214,62.6,88,75,3.44,BR,1619133296
crestview,30.7621,-86.5705,70.0,26,1,5.28,US,1619133058
turukhansk,65.8167,87.9833,27.28,94,100,11.77,RU,1619133296
norman wells,65.282,-126.8329,28.4,54,75,12.66,CA,1619133326
srednekolymsk,67.45,153.6833,14.56,84,96,4.27,RU,1619133326
mar del plata,-38.0023,-57.5575,68.0,94,40,8.05,AR,1619133060
saint george,37.1041,-113.5841,75.99,15,1,17.27,US,1619133327
itacare,-14.2775,-38.9967,78.8,89,20,5.75,BR,1619133327
umm kaddadah,13.6017,26.6876,82.98,17,1,11.39,SD,1619133327
meulaboh,4.1363,96.1285,76.05,89,90,2.93,ID,1619133327
pochutla,15.7432,-96.4661,90.0,51,75,11.5,MX,1619133328
solntsevo,51.4185,36.7499,46.4,71,49,11.18,RU,1619133328
yerbogachen,61.2767,108.0108,26.58,89,100,12.41,RU,1619132753
esperance,-33.8667,121.9,53.6,94,99,10.36,AU,1619133328
diffa,13.3154,12.6113,89.26,10,76,6.29,NE,1619133329
sao jose da coroa grande,-8.8978,-35.1478,79.09,82,12,8.57,BR,1619133329
falun,60.6036,15.626,35.01,60,36,13.8,SE,1619133329
kruisfontein,-34.0033,24.7314,66.0,83,4,7.0,ZA,1619133292
pozo colorado,-23.4923,-58.7972,79.09,40,77,3.27,PY,1619133329
samandag,36.0842,35.9771,59.0,88,0,6.91,TR,1619133330
bejar,40.3864,-5.7634,50.0,85,53,1.99,ES,1619133330
gaoual,11.75,-13.2,87.4,43,78,7.07,GN,1619133330
belaya gora,68.5333,146.4167,12.94,81,61,4.21,RU,1619133330
concordia,-31.393,-58.0209,72.0,88,75,6.91,AR,1619133331
ryotsu,38.0833,138.4333,51.8,76,20,4.61,JP,1619133331
margate,51.3813,1.3862,43.0,75,7,3.0,GB,1619133331
dalbandin,28.8947,64.4101,73.15,20,0,6.71,PK,1619133332
naron,43.5167,-8.1528,57.0,100,0,2.3,ES,1619133332
kenora,49.8167,-94.4337,62.6,19,20,18.41,CA,1619133223
vanse,58.1167,6.7,43.0,76,19,22.15,NO,1619133332
meihekou,42.5272,125.6753,51.66,74,100,2.98,CN,1619133332
formosa,-26.1775,-58.1781,68.0,94,90,6.91,AR,1619133333
namibe,-15.1961,12.1522,79.14,81,41,1.79,AO,1619133333
el alto,-4.2714,-81.2147,72.86,71,93,16.98,PE,1619133333
isabela,6.7085,121.9711,77.0,88,75,1.14,PH,1619133182
juli,-16.2167,-69.45,42.06,78,57,2.64,PE,1619133333
karratha,-20.7377,116.8463,74.19,28,0,13.29,AU,1619133334
oksbol,55.6268,8.2876,42.01,75,75,19.57,DK,1619133334
hokitika,-42.7167,170.9667,54.79,93,100,6.6,NZ,1619133334
saint-joseph,-21.3667,55.6167,77.0,73,100,13.8,RE,1619133335
bayan,46.0833,127.4,53.38,87,100,3.18,CN,1619133335
pangnirtung,66.1451,-65.7125,19.4,86,40,8.05,CA,1619133075
stokmarknes,68.5646,14.9108,35.01,76,91,7.25,NO,1619133335
suntar,62.1444,117.6319,27.93,92,100,13.09,RU,1619133335
bud,39.447,-86.1758,53.01,41,61,8.19,US,1619133336
huayang,34.4155,109.9939,49.32,80,100,7.4,CN,1619133336
sorland,67.667,12.6934,36.95,51,93,20.02,NO,1619133336
faanui,-16.4833,-151.75,81.09,73,11,14.76,PF,1619133336
vaini,-21.2,-175.2,86.0,58,75,6.91,TO,1619133189
oliver,49.1831,-119.5524,64.4,20,7,13.8,CA,1619133337
